F1,F2,F3,F4,F5,L
16.67,14.84,14.65,14.53,13.43,0
14.84,14.65,14.53,13.43,12.69,0
14.65,14.53,13.43,12.69,10.77,0
14.53,13.43,12.69,10.77,8.82,0
13.43,12.69,10.77,8.82,23.88,1
12.69,10.77,8.82,23.88,10.47,0
10.77,8.82,23.88,10.47,12.03,0
8.82,23.88,10.47,12.03,12.57,0
23.88,10.47,12.03,12.57,12.93,0
10.47,12.03,12.57,12.93,13.65,0
12.03,12.57,12.93,13.65,15.04,0
12.57,12.93,13.65,15.04,16.26,0
12.93,13.65,15.04,16.26,16.94,0
13.65,15.04,16.26,16.94,17.53,0
15.04,16.26,16.94,17.53,19.07,0
16.26,16.94,17.53,19.07,18.39,0
16.94,17.53,19.07,18.39,17.72,0
17.53,19.07,18.39,17.72,15.95,0
19.07,18.39,17.72,15.95,14.38,0
18.39,17.72,15.95,14.38,13.08,0
17.72,15.95,14.38,13.08,11.99,0
15.95,14.38,13.08,11.99,11.08,0
14.38,13.08,11.99,11.08,10.26,0
13.08,11.99,11.08,10.26,8.75,0
11.99,11.08,10.26,8.75,24.32,1
11.08,10.26,8.75,24.32,10.09,0
10.26,8.75,24.32,10.09,11.08,0
8.75,24.32,10.09,11.08,11.55,0
24.32,10.09,11.08,11.55,12.86,0
10.09,11.08,11.55,12.86,14.02,0
11.08,11.55,12.86,14.02,15.22,0
11.55,12.86,14.02,15.22,15.88,0
12.86,14.02,15.22,15.88,17.58,0
14.02,15.22,15.88,17.58,17.69,0
15.22,15.88,17.58,17.69,18.50,0
15.88,17.58,17.69,18.50,18.08,0
17.58,17.69,18.50,18.08,17.94,0
17.69,18.50,18.08,17.94,16.80,0
18.50,18.08,17.94,16.80,16.54,0
18.08,17.94,16.80,16.54,14.86,0
17.94,16.80,16.54,14.86,14.77,0
16.80,16.54,14.86,14.77,14.50,0
16.54,14.86,14.77,14.50,13.69,0
14.86,14.77,14.50,13.69,13.60,0
14.77,14.50,13.69,13.60,32.10,1
14.50,13.69,13.60,32.10,11.05,0
13.69,13.60,32.10,11.05,9.15,0
13.60,32.10,11.05,9.15,9.35,0
32.10,11.05,9.15,9.35,10.19,0
11.05,9.15,9.35,10.19,11.92,0
9.15,9.35,10.19,11.92,13.78,0
9.35,10.19,11.92,13.78,14.11,0
10.19,11.92,13.78,14.11,15.35,0
11.92,13.78,14.11,15.35,16.67,0
13.78,14.11,15.35,16.67,18.21,0
14.11,15.35,16.67,18.21,17.15,0
15.35,16.67,18.21,17.15,16.73,0
16.67,18.21,17.15,16.73,16.64,0
18.21,17.15,16.73,16.64,16.34,0
17.15,16.73,16.64,16.34,14.82,0
16.73,16.64,16.34,14.82,14.11,0
16.64,16.34,14.82,14.11,12.71,0
16.34,14.82,14.11,12.71,10.99,0
14.82,14.11,12.71,10.99,9.14,0
14.11,12.71,10.99,9.14,23.19,1
12.71,10.99,9.14,23.19,10.85,0
10.99,9.14,23.19,10.85,12.54,0
9.14,23.19,10.85,12.54,13.33,0
23.19,10.85,12.54,13.33,14.02,0
10.85,12.54,13.33,14.02,15.04,0
12.54,13.33,14.02,15.04,16.48,0
13.33,14.02,15.04,16.48,18.42,0
14.02,15.04,16.48,18.42,17.20,0
15.04,16.48,18.42,17.20,17.00,0
16.48,18.42,17.20,17.00,16.73,0
18.42,17.20,17.00,16.73,16.36,0
17.20,17.00,16.73,16.36,15.95,0
17.00,16.73,16.36,15.95,14.57,0
16.73,16.36,15.95,14.57,13.54,0
16.36,15.95,14.57,13.54,12.34,0
15.95,14.57,13.54,12.34,11.85,0
14.57,13.54,12.34,11.85,11.85,0
13.54,12.34,11.85,11.85,10.04,0
12.34,11.85,11.85,10.04,9.47,0
11.85,11.85,10.04,9.47,23.98,1
11.85,10.04,9.47,23.98,11.23,0
10.04,9.47,23.98,11.23,12.80,0
9.47,23.98,11.23,12.80,13.76,0
23.98,11.23,12.80,13.76,14.61,0
11.23,12.80,13.76,14.61,15.85,0
12.80,13.76,14.61,15.85,16.06,0
13.76,14.61,15.85,16.06,16.19,0
14.61,15.85,16.06,16.19,17.78,0
15.85,16.06,16.19,17.78,19.70,0
16.06,16.19,17.78,19.70,18.91,0
16.19,17.78,19.70,18.91,17.69,0
17.78,19.70,18.91,17.69,17.62,0
19.70,18.91,17.69,17.62,16.17,0
18.91,17.69,17.62,16.17,15.53,0
17.69,17.62,16.17,15.53,14.65,0
17.62,16.17,15.53,14.65,13.61,0
16.17,15.53,14.65,13.61,13.22,0
15.53,14.65,13.61,13.22,11.33,0
14.65,13.61,13.22,11.33,9.91,0
13.61,13.22,11.33,9.91,29.55,1
13.22,11.33,9.91,29.55,12.96,0
11.33,9.91,29.55,12.96,13.46,0
9.91,29.55,12.96,13.46,15.18,0
29.55,12.96,13.46,15.18,15.53,0
12.96,13.46,15.18,15.53,16.74,0
13.46,15.18,15.53,16.74,18.44,0
15.18,15.53,16.74,18.44,16.83,0
15.53,16.74,18.44,16.83,15.52,0
16.74,18.44,16.83,15.52,14.36,0
18.44,16.83,15.52,14.36,14.18,0
16.83,15.52,14.36,14.18,14.02,0
15.52,14.36,14.18,14.02,12.72,0
14.36,14.18,14.02,12.72,12.72,0
14.18,14.02,12.72,12.72,11.39,0
14.02,12.72,12.72,11.39,11.14,0
12.72,12.72,11.39,11.14,9.60,0
12.72,11.39,11.14,9.60,11.60,0
11.39,11.14,9.60,11.60,12.25,0
11.14,9.60,11.60,12.25,13.94,0
9.60,11.60,12.25,13.94,37.43,1
11.60,12.25,13.94,37.43,16.19,0
12.25,13.94,37.43,16.19,16.51,0
13.94,37.43,16.19,16.51,17.68,0
37.43,16.19,16.51,17.68,18.96,0
16.19,16.51,17.68,18.96,18.44,0
16.51,17.68,18.96,18.44,18.00,0
17.68,18.96,18.44,18.00,16.38,0
18.96,18.44,18.00,16.38,14.83,0
18.44,18.00,16.38,14.83,13.43,0
18.00,16.38,14.83,13.43,12.64,0
16.38,14.83,13.43,12.64,11.09,0
14.83,13.43,12.64,11.09,9.71,0
13.43,12.64,11.09,9.71,10.20,0
12.64,11.09,9.71,10.20,12.09,0
11.09,9.71,10.20,12.09,12.27,0
9.71,10.20,12.09,12.27,13.83,0
10.20,12.09,12.27,13.83,13.84,0
12.09,12.27,13.83,13.84,14.30,0
12.27,13.83,13.84,14.30,15.39,0
13.83,13.84,14.30,15.39,42.07,1
13.84,14.30,15.39,42.07,18.34,0
14.30,15.39,42.07,18.34,17.08,0
15.39,42.07,18.34,17.08,16.62,0
42.07,18.34,17.08,16.62,15.28,0
18.34,17.08,16.62,15.28,13.92,0
17.08,16.62,15.28,13.92,13.86,0
16.62,15.28,13.92,13.86,13.42,0
15.28,13.92,13.86,13.42,12.37,0
13.92,13.86,13.42,12.37,11.29,0
13.86,13.42,12.37,11.29,9.74,0
13.42,12.37,11.29,9.74,10.66,0
12.37,11.29,9.74,10.66,11.68,0
11.29,9.74,10.66,11.68,12.31,0
9.74,10.66,11.68,12.31,12.43,0
10.66,11.68,12.31,12.43,14.21,0
11.68,12.31,12.43,14.21,15.06,0
12.31,12.43,14.21,15.06,15.64,0
12.43,14.21,15.06,15.64,17.24,0
14.21,15.06,15.64,17.24,17.62,0
15.06,15.64,17.24,17.62,46.22,1
15.64,17.24,17.62,46.22,17.70,0
17.24,17.62,46.22,17.70,15.89,0
17.62,46.22,17.70,15.89,15.56,0
46.22,17.70,15.89,15.56,14.63,0
17.70,15.89,15.56,14.63,12.97,0
15.89,15.56,14.63,12.97,11.70,0
15.56,14.63,12.97,11.70,10.14,0
14.63,12.97,11.70,10.14,8.23,0
12.97,11.70,10.14,8.23,10.08,0
11.70,10.14,8.23,10.08,10.50,0
10.14,8.23,10.08,10.50,12.01,0
8.23,10.08,10.50,12.01,12.36,0
10.08,10.50,12.01,12.36,13.03,0
10.50,12.01,12.36,13.03,14.13,0
12.01,12.36,13.03,14.13,15.08,0
12.36,13.03,14.13,15.08,15.98,0
13.03,14.13,15.08,15.98,17.47,0
14.13,15.08,15.98,17.47,18.78,0
15.08,15.98,17.47,18.78,17.11,0
15.98,17.47,18.78,17.11,41.21,1
17.47,18.78,17.11,41.21,15.40,0
18.78,17.11,41.21,15.40,14.05,0
17.11,41.21,15.40,14.05,13.24,0
41.21,15.40,14.05,13.24,12.82,0
15.40,14.05,13.24,12.82,11.54,0
14.05,13.24,12.82,11.54,10.72,0
13.24,12.82,11.54,10.72,9.24,0
12.82,11.54,10.72,9.24,9.68,0
11.54,10.72,9.24,9.68,10.76,0
10.72,9.24,9.68,10.76,10.83,0
9.24,9.68,10.76,10.83,11.35,0
9.68,10.76,10.83,11.35,11.74,0
10.76,10.83,11.35,11.74,12.62,0
10.83,11.35,11.74,12.62,12.72,0
11.35,11.74,12.62,12.72,13.31,0
11.74,12.62,12.72,13.31,13.53,0
12.62,12.72,13.31,13.53,14.13,0
12.72,13.31,13.53,14.13,15.20,0
13.31,13.53,14.13,15.20,15.79,0
13.53,14.13,15.20,15.79,43.66,1
14.13,15.20,15.79,43.66,17.59,0
15.20,15.79,43.66,17.59,19.54,0
15.79,43.66,17.59,19.54,19.01,0
43.66,17.59,19.54,19.01,18.76,0
17.59,19.54,19.01,18.76,18.74,0
19.54,19.01,18.76,18.74,16.92,0
19.01,18.76,18.74,16.92,15.28,0
18.76,18.74,16.92,15.28,14.69,0
18.74,16.92,15.28,14.69,13.51,0
16.92,15.28,14.69,13.51,11.55,0
15.28,14.69,13.51,11.55,9.81,0
14.69,13.51,11.55,9.81,10.88,0
13.51,11.55,9.81,10.88,12.36,0
11.55,9.81,10.88,12.36,14.00,0
9.81,10.88,12.36,14.00,15.22,0
10.88,12.36,14.00,15.22,16.77,0
12.36,14.00,15.22,16.77,16.99,0
14.00,15.22,16.77,16.99,17.20,0
15.22,16.77,16.99,17.20,18.26,0
16.77,16.99,17.20,18.26,43.73,1
16.99,17.20,18.26,43.73,16.50,0
17.20,18.26,43.73,16.50,16.05,0
18.26,43.73,16.50,16.05,15.72,0
43.73,16.50,16.05,15.72,14.84,0
16.50,16.05,15.72,14.84,13.48,0
16.05,15.72,14.84,13.48,12.60,0
15.72,14.84,13.48,12.60,11.82,0
14.84,13.48,12.60,11.82,11.79,0
13.48,12.60,11.82,11.79,9.91,0
12.60,11.82,11.79,9.91,11.13,0
11.82,11.79,9.91,11.13,12.36,0
11.79,9.91,11.13,12.36,12.91,0
9.91,11.13,12.36,12.91,14.57,0
11.13,12.36,12.91,14.57,14.64,0
12.36,12.91,14.57,14.64,15.87,0
12.91,14.57,14.64,15.87,16.40,0
14.57,14.64,15.87,16.40,17.06,0
14.64,15.87,16.40,17.06,17.84,0
15.87,16.40,17.06,17.84,18.37,0
16.40,17.06,17.84,18.37,42.67,1
17.06,17.84,18.37,42.67,16.63,0
17.84,18.37,42.67,16.63,14.72,0
18.37,42.67,16.63,14.72,14.25,0
42.67,16.63,14.72,14.25,14.02,0
16.63,14.72,14.25,14.02,13.69,0
14.72,14.25,14.02,13.69,12.89,0
14.25,14.02,13.69,12.89,10.97,0
14.02,13.69,12.89,10.97,10.71,0
13.69,12.89,10.97,10.71,10.68,0
12.89,10.97,10.71,10.68,10.23,0
10.97,10.71,10.68,10.23,8.78,0
10.71,10.68,10.23,8.78,9.95,0
10.68,10.23,8.78,9.95,11.32,0
10.23,8.78,9.95,11.32,12.06,0
8.78,9.95,11.32,12.06,12.52,0
9.95,11.32,12.06,12.52,13.21,0
11.32,12.06,12.52,13.21,14.28,0
12.06,12.52,13.21,14.28,14.76,0
12.52,13.21,14.28,14.76,15.66,0
13.21,14.28,14.76,15.66,41.90,1
14.28,14.76,15.66,41.90,18.52,0
14.76,15.66,41.90,18.52,17.52,0
15.66,41.90,18.52,17.52,16.80,0
41.90,18.52,17.52,16.80,15.38,0
18.52,17.52,16.80,15.38,14.16,0
17.52,16.80,15.38,14.16,12.30,0
16.80,15.38,14.16,12.30,10.99,0
15.38,14.16,12.30,10.99,10.37,0
14.16,12.30,10.99,10.37,8.99,0
12.30,10.99,10.37,8.99,9.94,0
10.99,10.37,8.99,9.94,10.23,0
10.37,8.99,9.94,10.23,11.17,0
8.99,9.94,10.23,11.17,12.79,0
9.94,10.23,11.17,12.79,13.32,0
10.23,11.17,12.79,13.32,13.58,0
11.17,12.79,13.32,13.58,15.25,0
12.79,13.32,13.58,15.25,15.47,0
13.32,13.58,15.25,15.47,15.73,0
13.58,15.25,15.47,15.73,16.82,0
15.25,15.47,15.73,16.82,42.81,1
15.47,15.73,16.82,42.81,18.30,0
15.73,16.82,42.81,18.30,18.00,0
16.82,42.81,18.30,18.00,16.24,0
42.81,18.30,18.00,16.24,14.41,0
18.30,18.00,16.24,14.41,13.49,0
18.00,16.24,14.41,13.49,12.35,0
16.24,14.41,13.49,12.35,10.40,0
14.41,13.49,12.35,10.40,9.50,0
13.49,12.35,10.40,9.50,9.75,0
12.35,10.40,9.50,9.75,10.40,0
10.40,9.50,9.75,10.40,10.85,0
9.50,9.75,10.40,10.85,12.37,0
9.75,10.40,10.85,12.37,13.55,0
10.40,10.85,12.37,13.55,14.39,0
10.85,12.37,13.55,14.39,15.89,0
12.37,13.55,14.39,15.89,17.32,0
13.55,14.39,15.89,17.32,17.38,0
14.39,15.89,17.32,17.38,17.61,0
15.89,17.32,17.38,17.61,19.07,0
17.32,17.38,17.61,19.07,43.59,1
17.38,17.61,19.07,43.59,16.47,0
17.61,19.07,43.59,16.47,15.71,0
19.07,43.59,16.47,15.71,13.80,0
43.59,16.47,15.71,13.80,12.65,0
16.47,15.71,13.80,12.65,11.32,0
15.71,13.80,12.65,11.32,9.46,0
13.80,12.65,11.32,9.46,10.09,0
12.65,11.32,9.46,10.09,11.59,0
11.32,9.46,10.09,11.59,11.66,0
9.46,10.09,11.59,11.66,12.81,0
10.09,11.59,11.66,12.81,13.47,0
11.59,11.66,12.81,13.47,14.49,0
11.66,12.81,13.47,14.49,15.01,0
12.81,13.47,14.49,15.01,15.70,0
13.47,14.49,15.01,15.70,16.68,0
14.49,15.01,15.70,16.68,17.63,0
15.01,15.70,16.68,17.63,19.28,0
15.70,16.68,17.63,19.28,18.40,0
16.68,17.63,19.28,18.40,17.47,0
17.63,19.28,18.40,17.47,42.99,1
19.28,18.40,17.47,42.99,15.28,0
18.40,17.47,42.99,15.28,15.22,0
17.47,42.99,15.28,15.22,15.07,0
42.99,15.28,15.22,15.07,14.87,0
15.28,15.22,15.07,14.87,14.55,0
15.22,15.07,14.87,14.55,13.26,0
15.07,14.87,14.55,13.26,11.94,0
14.87,14.55,13.26,11.94,10.59,0
14.55,13.26,11.94,10.59,9.91,0
13.26,11.94,10.59,9.91,11.35,0
11.94,10.59,9.91,11.35,11.64,0
10.59,9.91,11.35,11.64,12.97,0
9.91,11.35,11.64,12.97,14.63,0
11.35,11.64,12.97,14.63,15.16,0
11.64,12.97,14.63,15.16,15.64,0
12.97,14.63,15.16,15.64,15.64,0
14.63,15.16,15.64,15.64,15.79,0
15.16,15.64,15.64,15.79,16.05,0
15.64,15.64,15.79,16.05,17.02,0
15.64,15.79,16.05,17.02,45.04,1
15.79,16.05,17.02,45.04,17.32,0
16.05,17.02,45.04,17.32,16.14,0
17.02,45.04,17.32,16.14,16.09,0
45.04,17.32,16.14,16.09,15.43,0
17.32,16.14,16.09,15.43,13.54,0
16.14,16.09,15.43,13.54,12.84,0
16.09,15.43,13.54,12.84,12.66,0
15.43,13.54,12.84,12.66,10.69,0
13.54,12.84,12.66,10.69,10.54,0
12.84,12.66,10.69,10.54,10.14,0
12.66,10.69,10.54,10.14,9.93,0
10.69,10.54,10.14,9.93,11.75,0
10.54,10.14,9.93,11.75,13.43,0
10.14,9.93,11.75,13.43,13.72,0
9.93,11.75,13.43,13.72,14.46,0
11.75,13.43,13.72,14.46,15.26,0
13.43,13.72,14.46,15.26,15.30,0
13.72,14.46,15.26,15.30,17.00,0
14.46,15.26,15.30,17.00,17.08,0
15.26,15.30,17.00,17.08,43.66,1
15.30,17.00,17.08,43.66,17.78,0
17.00,17.08,43.66,17.78,19.68,0
17.08,43.66,17.78,19.68,19.66,0
43.66,17.78,19.68,19.66,17.84,0
17.78,19.68,19.66,17.84,16.03,0
19.68,19.66,17.84,16.03,15.38,0
19.66,17.84,16.03,15.38,14.86,0
17.84,16.03,15.38,14.86,13.33,0
16.03,15.38,14.86,13.33,12.88,0
15.38,14.86,13.33,12.88,12.13,0
14.86,13.33,12.88,12.13,10.25,0
13.33,12.88,12.13,10.25,8.53,0
12.88,12.13,10.25,8.53,10.40,0
12.13,10.25,8.53,10.40,12.14,0
10.25,8.53,10.40,12.14,14.11,0
8.53,10.40,12.14,14.11,14.41,0
10.40,12.14,14.11,14.41,16.18,0
12.14,14.11,14.41,16.18,17.70,0
14.11,14.41,16.18,17.70,17.86,0
14.41,16.18,17.70,17.86,48.42,1
16.18,17.70,17.86,48.42,17.74,0
17.70,17.86,48.42,17.74,16.55,0
17.86,48.42,17.74,16.55,15.74,0
48.42,17.74,16.55,15.74,14.17,0
17.74,16.55,15.74,14.17,13.21,0
16.55,15.74,14.17,13.21,12.00,0
15.74,14.17,13.21,12.00,10.97,0
14.17,13.21,12.00,10.97,10.78,0
13.21,12.00,10.97,10.78,9.80,0
12.00,10.97,10.78,9.80,10.43,0
10.97,10.78,9.80,10.43,10.56,0
10.78,9.80,10.43,10.56,12.54,0
9.80,10.43,10.56,12.54,14.36,0
10.43,10.56,12.54,14.36,15.78,0
10.56,12.54,14.36,15.78,16.75,0
12.54,14.36,15.78,16.75,18.72,0
14.36,15.78,16.75,18.72,17.94,0
15.78,16.75,18.72,17.94,17.62,0
16.75,18.72,17.94,17.62,16.42,0
18.72,17.94,17.62,16.42,38.59,1
17.94,17.62,16.42,38.59,15.00,0
17.62,16.42,38.59,15.00,13.69,0
16.42,38.59,15.00,13.69,12.63,0
38.59,15.00,13.69,12.63,11.26,0
15.00,13.69,12.63,11.26,9.80,0
13.69,12.63,11.26,9.80,11.31,0
12.63,11.26,9.80,11.31,11.77,0
11.26,9.80,11.31,11.77,12.57,0
9.80,11.31,11.77,12.57,12.66,0
11.31,11.77,12.57,12.66,14.24,0
11.77,12.57,12.66,14.24,14.98,0
12.57,12.66,14.24,14.98,16.58,0
12.66,14.24,14.98,16.58,17.42,0
14.24,14.98,16.58,17.42,18.96,0
14.98,16.58,17.42,18.96,17.22,0
16.58,17.42,18.96,17.22,16.21,0
17.42,18.96,17.22,16.21,15.77,0
18.96,17.22,16.21,15.77,14.22,0
17.22,16.21,15.77,14.22,13.10,0
16.21,15.77,14.22,13.10,29.46,1
15.77,14.22,13.10,29.46,11.14,0
14.22,13.10,29.46,11.14,9.97,0
13.10,29.46,11.14,9.97,10.51,0
29.46,11.14,9.97,10.51,11.87,0
11.14,9.97,10.51,11.87,13.31,0
9.97,10.51,11.87,13.31,14.84,0
10.51,11.87,13.31,14.84,15.19,0
11.87,13.31,14.84,15.19,15.94,0
13.31,14.84,15.19,15.94,16.47,0
14.84,15.19,15.94,16.47,17.01,0
15.19,15.94,16.47,17.01,17.36,0
15.94,16.47,17.01,17.36,17.47,0
16.47,17.01,17.36,17.47,17.97,0
17.01,17.36,17.47,17.97,18.32,0
17.36,17.47,17.97,18.32,17.24,0
17.47,17.97,18.32,17.24,16.46,0
17.97,18.32,17.24,16.46,15.49,0
18.32,17.24,16.46,15.49,13.69,0
17.24,16.46,15.49,13.69,12.05,0
16.46,15.49,13.69,12.05,25.55,1
15.49,13.69,12.05,25.55,9.24,0
13.69,12.05,25.55,9.24,9.97,0
12.05,25.55,9.24,9.97,10.12,0
25.55,9.24,9.97,10.12,11.70,0
9.24,9.97,10.12,11.70,12.62,0
9.97,10.12,11.70,12.62,14.04,0
10.12,11.70,12.62,14.04,14.18,0
11.70,12.62,14.04,14.18,15.62,0
12.62,14.04,14.18,15.62,17.12,0
14.04,14.18,15.62,17.12,17.82,0
14.18,15.62,17.12,17.82,18.92,0
15.62,17.12,17.82,18.92,17.51,0
17.12,17.82,18.92,17.51,17.25,0
17.82,18.92,17.51,17.25,17.08,0
18.92,17.51,17.25,17.08,16.45,0
17.51,17.25,17.08,16.45,14.95,0
17.25,17.08,16.45,14.95,13.01,0
17.08,16.45,14.95,13.01,12.14,0
16.45,14.95,13.01,12.14,10.87,0
14.95,13.01,12.14,10.87,27.03,1
13.01,12.14,10.87,27.03,9.23,0
12.14,10.87,27.03,9.23,10.32,0
10.87,27.03,9.23,10.32,10.44,0
27.03,9.23,10.32,10.44,12.40,0
9.23,10.32,10.44,12.40,12.92,0
10.32,10.44,12.40,12.92,14.91,0
10.44,12.40,12.92,14.91,16.41,0
12.40,12.92,14.91,16.41,17.45,0
12.92,14.91,16.41,17.45,17.77,0
14.91,16.41,17.45,17.77,18.03,0
16.41,17.45,17.77,18.03,16.22,0
17.45,17.77,18.03,16.22,15.61,0
17.77,18.03,16.22,15.61,14.45,0
18.03,16.22,15.61,14.45,12.82,0
16.22,15.61,14.45,12.82,12.25,0
15.61,14.45,12.82,12.25,12.04,0
14.45,12.82,12.25,12.04,11.82,0
12.82,12.25,12.04,11.82,10.08,0
12.25,12.04,11.82,10.08,9.37,0
12.04,11.82,10.08,9.37,27.62,1
11.82,10.08,9.37,27.62,12.70,0
10.08,9.37,27.62,12.70,13.27,0
9.37,27.62,12.70,13.27,15.27,0
27.62,12.70,13.27,15.27,15.83,0
12.70,13.27,15.27,15.83,16.18,0
13.27,15.27,15.83,16.18,17.46,0
15.27,15.83,16.18,17.46,18.80,0
15.83,16.18,17.46,18.80,17.50,0
16.18,17.46,18.80,17.50,15.91,0
17.46,18.80,17.50,15.91,14.10,0
18.80,17.50,15.91,14.10,13.29,0
17.50,15.91,14.10,13.29,12.11,0
15.91,14.10,13.29,12.11,11.33,0
14.10,13.29,12.11,11.33,9.76,0
13.29,12.11,11.33,9.76,9.90,0
12.11,11.33,9.76,9.90,11.59,0
11.33,9.76,9.90,11.59,11.72,0
9.76,9.90,11.59,11.72,12.47,0
9.90,11.59,11.72,12.47,12.93,0
11.59,11.72,12.47,12.93,34.05,1
11.72,12.47,12.93,34.05,14.55,0
12.47,12.93,34.05,14.55,15.01,0
12.93,34.05,14.55,15.01,16.94,0
34.05,14.55,15.01,16.94,17.41,0
14.55,15.01,16.94,17.41,18.88,0
15.01,16.94,17.41,18.88,17.23,0
16.94,17.41,18.88,17.23,16.20,0
17.41,18.88,17.23,16.20,15.07,0
18.88,17.23,16.20,15.07,13.33,0
17.23,16.20,15.07,13.33,12.72,0
16.20,15.07,13.33,12.72,11.18,0
15.07,13.33,12.72,11.18,10.22,0
13.33,12.72,11.18,10.22,9.24,0
12.72,11.18,10.22,9.24,10.88,0
11.18,10.22,9.24,10.88,12.78,0
10.22,9.24,10.88,12.78,14.74,0
9.24,10.88,12.78,14.74,14.96,0
10.88,12.78,14.74,14.96,16.62,0
12.78,14.74,14.96,16.62,18.34,0
14.74,14.96,16.62,18.34,45.22,1
14.96,16.62,18.34,45.22,17.90,0
16.62,18.34,45.22,17.90,17.24,0
18.34,45.22,17.90,17.24,16.25,0
45.22,17.90,17.24,16.25,16.07,0
17.90,17.24,16.25,16.07,14.33,0
17.24,16.25,16.07,14.33,13.73,0
16.25,16.07,14.33,13.73,12.38,0
16.07,14.33,13.73,12.38,10.93,0
14.33,13.73,12.38,10.93,9.03,0
13.73,12.38,10.93,9.03,9.43,0
12.38,10.93,9.03,9.43,10.14,0
10.93,9.03,9.43,10.14,12.04,0
9.03,9.43,10.14,12.04,12.12,0
9.43,10.14,12.04,12.12,12.80,0
10.14,12.04,12.12,12.80,14.63,0
12.04,12.12,12.80,14.63,14.70,0
12.12,12.80,14.63,14.70,16.39,0
12.80,14.63,14.70,16.39,17.36,0
14.63,14.70,16.39,17.36,18.76,0
14.70,16.39,17.36,18.76,43.28,1
16.39,17.36,18.76,43.28,16.21,0
17.36,18.76,43.28,16.21,14.86,0
18.34,17.65,16.87,16.18,15.41,0
17.65,16.87,16.18,15.41,15.32,0
16.87,16.18,15.41,15.32,13.47,0
16.18,15.41,15.32,13.47,11.70,0
15.41,15.32,13.47,11.70,11.18,0
15.32,13.47,11.70,11.18,10.68,0
13.47,11.70,11.18,10.68,9.83,0
11.70,11.18,10.68,9.83,11.56,0
11.18,10.68,9.83,11.56,13.20,0
10.68,9.83,11.56,13.20,14.34,0
9.83,11.56,13.20,14.34,15.02,0
11.56,13.20,14.34,15.02,15.80,0
13.20,14.34,15.02,15.80,17.34,0
14.34,15.02,15.80,17.34,16.41,0
15.02,15.80,17.34,16.41,15.71,0
15.80,17.34,16.41,15.71,14.04,0
17.34,16.41,15.71,14.04,12.31,0
16.41,15.71,14.04,12.31,11.17,0
15.71,14.04,12.31,11.17,10.77,0
14.04,12.31,11.17,10.77,9.69,0
12.31,11.17,10.77,9.69,10.82,0
11.17,10.77,9.69,10.82,12.30,0
10.77,9.69,10.82,12.30,12.87,0
9.69,10.82,12.30,12.87,18.35,1
10.82,12.30,12.87,36.69,16.28,0
12.30,12.87,36.69,16.28,18.21,0
12.87,36.69,16.28,18.21,18.04,0
36.69,16.28,18.21,18.04,16.51,0
16.28,18.21,18.04,16.51,16.40,0
18.21,18.04,16.51,16.40,14.56,0
18.04,16.51,16.40,14.56,12.63,0
16.51,16.40,14.56,12.63,10.72,0
16.40,14.56,12.63,10.72,10.01,0
14.56,12.63,10.72,10.01,9.65,0
12.63,10.72,10.01,9.65,11.11,0
10.72,10.01,9.65,11.11,11.54,0
10.01,9.65,11.11,11.54,13.28,0
9.65,11.11,11.54,13.28,14.30,0
11.11,11.54,13.28,14.30,14.89,0
11.54,13.28,14.30,14.89,15.48,0
13.28,14.30,14.89,15.48,17.43,0
14.30,14.89,15.48,17.43,17.21,0
14.89,15.48,17.43,17.21,16.30,0
15.48,17.43,17.21,16.30,15.72,0
17.43,17.21,16.30,15.72,14.33,0
17.21,16.30,15.72,14.33,13.26,0
16.30,15.72,14.33,13.26,13.04,0
15.72,14.33,13.26,13.04,11.14,0
14.33,13.26,13.04,11.14,9.70,0
13.26,13.04,11.14,9.70,9.82,0
13.04,11.14,9.70,9.82,10.60,0
11.14,9.70,9.82,10.60,12.27,0
9.70,9.82,10.60,12.27,14.26,0
9.82,10.60,12.27,14.26,15.46,0
10.60,12.27,14.26,15.46,16.65,0
12.27,14.26,15.46,16.65,17.74,0
14.26,15.46,16.65,17.74,17.49,0
15.46,16.65,17.74,17.49,16.29,0
16.65,17.74,17.49,16.29,15.95,0
17.74,17.49,16.29,15.95,15.18,0
17.49,16.29,15.95,15.18,14.31,0
16.29,15.95,15.18,14.31,13.18,0
15.95,15.18,14.31,13.18,11.52,0
15.18,14.31,13.18,11.52,10.22,0
14.31,13.18,11.52,10.22,8.37,0
13.18,11.52,10.22,8.37,9.52,0
11.52,10.22,8.37,9.52,9.63,0
10.22,8.37,9.52,9.63,10.11,0
8.37,9.52,9.63,10.11,10.93,0
9.52,9.63,10.11,10.93,12.45,0
9.63,10.11,10.93,12.45,13.53,0
10.11,10.93,12.45,13.53,13.80,0
10.93,12.45,13.53,13.80,15.74,0
12.45,13.53,13.80,15.74,17.13,0
13.53,13.80,15.74,17.13,15.55,0
13.80,15.74,17.13,15.55,14.13,0
15.74,17.13,15.55,14.13,13.36,0
17.13,15.55,14.13,13.36,12.36,0
15.55,14.13,13.36,12.36,11.51,0
14.13,13.36,12.36,11.51,11.09,0
13.36,12.36,11.51,11.09,9.68,0
12.36,11.51,11.09,9.68,11.03,0
11.51,11.09,9.68,11.03,12.66,0
11.09,9.68,11.03,12.66,13.59,0
9.68,11.03,12.66,13.59,14.78,0
11.03,12.66,13.59,14.78,16.21,0
12.66,13.59,14.78,16.21,16.63,0
13.59,14.78,16.21,16.63,17.16,0
